hora_c,hora_f,bformal,dconurb1,dconurb2,dconurb3,dmore2000,dprop_soloviv,dprop_ocupant,dinquilinos,npersonashogar,dedu_secincomp,dedu_seccomp,dedu_ter_o_mas,ddondevivia2,ddondevivia3,ddondevivia4,ddondevivia5,ddondevivia6,ddondevivia7,dmigrantefuerabarrio,antigenvivienda,nambientes,m2,dconexionagua1,dconexionagua2,dconexionagua3,dpagaelagua,dcloaca,delectricidad_med,dconexiongas,alquiler2,ingresohogar2
14.3,14.55,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,1,4,2,2,0,0,1,0,1,1,0,12000,16500
13.3,13.55,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,1,1,12,3,2,0,0,1,0,1,1,0,2000,12000
14.25,14.5,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,6,4,2,0,0,1,0,0,0,0,3000,15000
11.05,11.3,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,1,1,10,3,2,0,0,1,,0,0,0,6000,8000
9.35,10,0,0,0,0,1,1,0,0,8,0,0,0,1,0,0,0,0,0,0,32,3,1,0,0,1,0,0,0,0,,6800
10.4,11.05,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,1500,17000
13.3,13.5,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,3000,6000
12,12.25,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,28,2,1,0,0,1,0,1,0,0,1000,2000
11.05,11.25,0,0,0,0,1,0,0,1,7,1,0,0,0,1,0,0,0,0,1,8,1,1,0,0,1,0,0,0,0,4500,9000
12.5,13.15,0,0,0,0,1,1,0,0,6,0,1,0,0,0,0,0,0,1,1,4,3,1,0,0,1,,0,0,0,3000,10000
11.35,12,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,5,3,0,0,1,0,1,0,0,3000,18000
15.15,15.4,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,9,2,2,0,0,1,0,1,0,0,1500,4000
10,10.25,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,,3,1,0,0,1,,1,0,0,5000,12000
12,12.25,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,5,2,1,0,0,1,0,0,0,0,3000,9000
11.4,12.05,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,14,2,1,0,0,1,0,1,0,0,3000,12000
9.300000000000001,9.5,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,1,1,9,5,2,0,0,1,0,1,0,0,,20000
12,12.25,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,1,0,0,2600,10000
10.3,11,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,1,1,14,3,2,0,0,1,0,0,0,0,2000,20000
9.35,10,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,10,3,2,0,0,1,0,1,1,0,1200,5000
13,13.3,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,,4,2,0,0,1,0,1,0,0,3000,16000
10,10.25,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,,2,1,0,0,1,0,0,0,0,1500,10000
14.55,15.15,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,,4,3,0,0,1,0,1,1,0,2000,17000
10.05,10.25,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,3,5,3,0,0,1,0,0,0,0,,12000
14,14.25,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,17,1,1,0,1,0,0,0,1,0,,5000
11.35,11.55,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,0,1200,5800
13.5,14.15,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,7,1,1,0,0,1,0,1,1,0,,10000
13,13.25,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,,3,2,0,0,1,0,1,0,0,,14000
10,10.25,0,0,0,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,2800,18000
13.5,14.1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,6,4,2,0,0,1,0,0,0,0,,13000
12.45,13.05,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,1,10,2,1,0,0,1,0,0,0,0,,9000
11.3,12,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,1,1,10,4,3,0,0,1,0,1,0,0,,5000
12,12.2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,0,1600,12000
13.2,13.45,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1500,12000
12.45,13.1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,9,3,1,0,0,1,0,1,0,0,5000,8000
14.3,14.55,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,1,1,9,3,2,0,0,1,0,1,0,0,,17000
10.15,10.4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,40,1,1,0,0,1,0,1,0,0,,5600
14,14.25,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,1,8,2,2,0,0,1,0,1,1,0,,5000
14.45,15.1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,1,11,2,1,0,0,1,0,1,0,0,1500,12000
14.3,14.5,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,20,3,1,0,0,1,0,1,1,0,2000,9000
13.3,13.55,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,1,8,3,2,0,0,1,0,1,0,0,2000,8000
13.15,13.45,0,0,0,0,1,1,0,0,8,1,0,0,0,0,0,0,0,0,0,,3,1,0,0,1,0,1,0,0,2000,6000
12.1,12.3,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,5,2,2,0,0,1,0,0,0,0,,17000
9.300000000000001,10,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,2,2,1,0,0,1,0,1,0,0,1500,
11,11.3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,1,0,1,1,0,3000,16000
12.45,13.05,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,1,0,0,2000,10000
13.2,13.45,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,1,11,1,1,0,0,1,,0,0,0,800,8000
9.300000000000001,9.5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,13,2,2,0,0,1,0,1,1,0,1700,8000
11,11.3,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,0,,11000
14,14.3,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,1,2,2,1,0,0,1,0,1,0,0,2000,12000
11.3,12,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,1,0,1,0,0,1500,1500
11.35,12,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,10,1,1,0,0,1,0,1,0,0,2500,40000
14,14.25,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,1,1,10,4,3,0,0,1,0,1,0,0,,
12.5,13.1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,1,0,1,1,0,3000,19000
9.300000000000001,9.550000000000001,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,1,,0,0,0,1500,4500
14.3,14.55,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,1,0,0,1,5,2,1,0,0,1,0,1,0,0,,10600
10.3,11,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1000,1200
10.4,11.05,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,3,2,1,0,0,1,,0,0,0,3000,10000
12.05,12.3,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,1,0,,17000
11.1,11.3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,9,2,1,0,0,1,0,0,0,0,3000,6000
10.3,11,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,1,0,1,1,0,3500,15000
9.300000000000001,9.550000000000001,0,0,0,0,1,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,600,15000
11.3,12,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,2000,6000
13.15,13.45,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,1,8,5,2,0,0,1,0,1,0,0,,
13.2,13.4,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,1,1,16,3,2,0,0,1,0,1,1,0,2500,15000
15.45,16.1,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,1,1,1,3,2,0,0,1,,1,0,0,3500,20000
11.4,12.1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,,0,0,0,1200,25000
12.15,12.4,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,1,2,2,2,0,0,1,,0,0,0,6000,6800
13.5,14.2,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,1,13,3,2,0,0,1,0,1,0,0,5000,12000
10.1,10.3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,1,0,0,1,0,,12000
13.05,13.25,0,0,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,1,1,10,3,1,0,0,1,0,0,0,0,6000,21000
12.5,13.2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,,3,2,0,0,1,0,1,1,0,,17000
14.25,14.5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,9,3,2,0,1,0,0,1,0,0,2000,4500
16.2,16.45,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,1,43,5,3,0,0,1,0,1,0,0,3000,14000
10,10.25,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,1,10,3,2,0,0,1,0,1,1,0,1000,20000
15.45,16.1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,1,1,4,2,1,0,0,1,0,1,0,0,2400,14500
14.32,14.57,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,18,3,2,0,0,1,0,1,1,0,8000,7000
11.15,11.4,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,7,3,0,0,1,0,1,1,0,,10000
12.2,12.45,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,1,1,0,1000,8000
14,14.3,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,,3,2,0,0,1,0,1,1,0,4500,8000
13.35,13.55,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,1,15,4,3,0,0,1,,1,1,0,,9000
15,15.25,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,24,4,2,0,0,1,0,1,1,0,,10000
11.45,12.1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,1,8,3,1,0,0,1,0,1,1,0,1500,10000
13.4,14.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0,1,0,0,3000,24000
12.55,13.2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,3,3,2,1,0,0,,1,0,0,2000,6800
15,15.3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,12,3,2,0,0,1,0,1,0,0,,16000
10,10.3,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,5,2,1,0,0,1,0,1,0,0,2000,13000
10.4,11.2,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,4,1,1,0,0,1,0,1,0,0,2000,12000
10.4,11,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,14,2,1,0,0,1,0,1,1,0,2000,7000
11.35,12,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,0,2000,4700
12.1,12.4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,4,3,3,0,0,1,0,1,0,0,5000,10000
9.300000000000001,9.5,1,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,3,1,1,0,0,1,1,1,1,6000,20000
10.25,10.45,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,4,1,1,1,0,0,1,1,1,1,4000,
10.4,11,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,8,2,2,1,0,0,,1,1,1,4300,18500
10.05,10.3,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,0,1,0,1,0,4000,18000
11.3,11.55,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,1,1,0,4,2,1,0,0,,0,1,1,4000,15000
11.15,11.4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,3,2,1,1,0,0,1,1,1,1,,4000
14.5,15.25,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,5,3,2,1,0,0,1,1,1,1,8000,12000
11.05,11.25,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,1,1,1,1700,16000
15.2,15.45,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,3,2,1,0,0,1,1,1,1,3500,
13.1,13.3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,6,3,2,1,0,0,,1,1,1,8000,6000
12.35,12.55,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,,1,1,1,,5000
12.1,12.35,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,7,3,2,1,0,0,,1,1,1,4500,
9.4,10.05,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,27,5,3,1,0,0,1,1,1,1,8000,22000
10.1,10.3,1,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,,7,4,1,0,0,1,1,1,1,,22000
11.35,12,1,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,1,40,4,3,1,0,0,1,1,1,1,,
14.15,14.45,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,4,5,3,1,0,0,1,1,1,1,,
10.45,11,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,32,6,2,1,0,0,1,1,1,1,12000,30000
13.3,13.55,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,6,2,1,1,0,0,,1,1,1,,24000
10.55,11.25,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,8,1,1,1,0,0,,0,1,1,,
12.1,12.3,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,15,4,2,1,0,0,1,1,1,1,,
11.5,12.25,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,37,5,3,0,0,0,0,1,1,0,6000,6700
14.2,15,0,0,1,0,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,7,7,3,0,0,0,0,1,1,0,3500,16000
9.300000000000001,10.05,0,0,1,0,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,,6,4,1,0,0,0,1,1,0,3000,10000
13.1,13.5,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,38,7,3,0,0,1,0,0,0,0,,40000
15.5,16.2,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,1,0,2500,8000
11,11.3,0,0,1,0,1,0,1,0,4,1,0,0,0,0,1,0,0,0,1,6,3,2,1,0,0,,1,1,0,3000,12000
14.1,14.4,0,0,1,0,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,1,5,3,0,0,0,,1,1,0,5000,13000
13.3,14.05,0,0,1,0,1,1,0,0,5,0,1,0,1,0,0,0,0,0,0,27,4,2,0,0,1,0,0,1,0,,
11.5,12.2,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,4,2,1,0,0,0,1,0,0,1000,15000
10.1,10.45,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,1,30,3,2,0,0,0,0,1,1,0,3000,14000
12,12.3,0,0,1,0,1,1,0,0,4,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,2500,15000
10.1,10.4,0,0,1,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,0,,5,2,1,0,0,1,1,1,1,6000,10000
15.1,15.4,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,1,20,5,3,0,0,1,0,0,1,0,,10000
13.2,14,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,1,0,0,2000,7500
13.4,14.1,0,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2000,2000
14.2,15,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,0,0,1000,18000
11,11.4,0,0,1,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,,4,2,1,0,0,1,1,1,1,5000,10000
15.25,16,0,0,1,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,13,3,2,1,0,0,,1,0,0,2500,13000
11.1,11.45,0,0,1,0,1,0,1,0,5,0,0,0,0,0,0,1,0,0,1,33,3,2,0,0,0,0,0,0,1,1500,12000
11.1,11.45,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,1,1,7,3,2,0,0,1,0,0,1,0,,10500
11.05,11.4,0,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,10,4,2,1,0,0,1,0,1,1,4000,17000
15,15.3,0,0,1,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,,4,2,1,0,0,0,1,1,0,1000,12000
11.05,11.4,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,3000,15000
13.2,14,0,0,1,0,1,1,0,0,7,0,1,0,1,0,0,0,0,0,0,3,4,3,1,0,0,,1,1,0,6000,15000
14,14.3,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,10,3,2,0,0,1,0,0,1,0,2500,6600
13,13.3,0,0,1,0,1,0,1,0,5,0,1,0,1,0,0,0,0,0,0,16,4,2,1,0,0,1,0,1,1,5000,15000
9.449999999999999,10.15,0,0,1,0,1,0,1,0,4,1,0,0,0,1,0,0,0,0,1,27,4,2,1,0,0,1,0,1,1,4000,15000
14.25,14.5,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,7,1,1,0,0,0,0,0,1,0,,8000
14.25,15.1,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,1,27,5,3,0,0,1,0,0,1,0,,19000
15.1,15.4,0,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,1,0,2000,12000
14.5,15.05,0,0,1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,15,2,1,0,0,1,0,0,1,0,3000,13000
11.05,11.4,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,15,5,3,1,0,0,1,0,1,1,3000,25000
11,11.25,0,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,,1,1,0,4000,18000
13.3,14.05,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,3000,9500
12,12.35,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,14,2,1,1,0,0,1,0,1,0,4000,8000
10.2,10.5,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,,5,1,1,0,0,0,1,0,0,2500,8000
10.2,10.45,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,40,3,2,1,0,0,1,1,1,1,4000,6000
9.35,10,0,0,1,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,1,39,6,3,0,0,1,0,0,1,0,,25000
13.1,13.5,0,0,1,0,1,1,0,0,6,1,0,0,1,0,0,0,0,0,0,6,5,3,0,0,1,0,0,1,0,,12000
14,14.3,0,0,1,0,1,1,0,0,7,1,0,0,0,1,0,0,0,0,1,13,3,2,0,0,1,0,0,0,0,,15000
10,10.3,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,3,2,1,0,0,1,0,1,0,2000,5000
11,11.4,0,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,8,3,1,0,0,0,0,1,0,0,,12000
9.300000000000001,10.05,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,0,0,1,0,0,2000,10000
9.35,10,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,1,0,,11000
13.4,14.1,0,0,1,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,30,5,4,0,0,1,0,1,0,0,500,9000
10.2,10.5,0,0,1,0,1,1,0,0,6,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,2000,8000
10.25,10.5,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,6,2,1,0,0,1,0,0,1,0,,8500
15,15.3,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,3,2,1,0,0,,1,0,0,2000,6800
14.5,15.15,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,1,36,4,3,0,0,1,0,0,1,0,2500,25000
11.5,12.2,0,0,1,0,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,23,3,2,0,0,0,,1,1,0,3000,12000
9.4,10.1,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,1,8,6,4,1,0,0,1,0,1,0,,35000
10.15,10.5,0,0,1,0,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0,20,6,3,0,0,1,0,0,1,0,2000,15000
14.1,14.4,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,30,5,3,1,0,0,0,1,0,0,2000,7000
10.29,10.5,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,23,4,3,1,0,0,1,0,1,1,,17000
11.5,12.25,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,10,4,2,1,0,0,1,1,1,1,5000,9000
10,10.3,0,0,1,0,1,0,0,1,6,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3000,6000
11,11.25,0,0,1,0,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,,6,3,1,0,0,0,1,0,0,3000,10000
15.55,16.3,1,0,1,0,1,0,0,0,5,0,0,1,0,0,0,1,0,0,1,22,6,3,1,0,0,1,0,1,1,8000,35000
15.5,16.15,1,0,1,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,7,3,2,1,0,0,1,0,1,0,4000,20000
13,13.2,1,0,1,0,1,0,1,0,7,0,1,0,0,0,0,1,0,0,1,21,4,2,1,0,0,,0,1,1,4000,10000
15.3,15.55,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,3,2,1,0,0,1,0,1,0,5000,35000
14.15,14.45,1,0,1,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,26,4,3,1,0,0,1,0,1,1,5000,19000
14.5,15.2,1,0,1,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,1,5,3,2,1,0,0,1,0,1,0,4500,16000
13.35,14,1,0,1,0,1,0,0,1,5,0,1,0,0,0,0,0,0,1,1,5,1,1,1,0,0,1,0,1,0,3000,10000
11.05,11.3,1,0,1,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,1,40,5,2,1,0,0,1,0,1,1,5000,14000
13.35,14.05,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,5,3,1,0,0,1,0,1,1,6000,20000
15.2,15.4,1,0,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,20,3,2,1,0,0,1,0,1,1,3000,8000
11.5,12.2,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,36,5,3,1,0,0,1,0,1,1,5000,23900
